_id,_name,_category,_effectType,_effectConditionValue,_effectValue,_extraEffectValue,_effectDetail,_wayToUse,_wayToGet,_price,_spriteName,_itemTab,_priority,_expireDate,_itemExpireType,_masterReleaseLabelId
15530030,Scout Points [Kasumi's Birth Anniversary],1,0,0,0,0,Points obtained through Kasumi's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224012302
15530031,Scout Points [Ema's Birth Anniversary],1,0,0,0,0,Points obtained through Ema's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224020502
15530032,Scout Points [Kanan's Birth Anniversary],1,0,0,0,0,Points obtained through Kanan's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224021004
15530033,Scout Points [Ranju's Birth Anniversary],1,0,0,0,0,Points obtained through Ranju's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224021502
15530034,Scout Points (Chisato's Birthday),1,0,0,0,0,Points obtained from Chisato's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224022502
15530035,Scout Points (Ayumu's Birthday),1,0,0,0,0,Points obtained from Ayumu's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224030107
15530036,Scout Points (Hanamaru's Birthday),1,0,0,0,0,Points obtained from Hanamaru's Birthday Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224030402
15530037,Scout Points  [Umi's Birthday Anniversary],1,0,0,0,0,"Points that can be earned through “Umi's Birthday Anniversary Scouting”</br>Can be exchanged for various members and items</br>*After the period ends, it will be converted to a Skill Notebook (Medium).",用途ダミー,入手先ダミー,0,15020001,5,500,,0,224031502
15540001,Scout Points (SIF Data Link Bonus),1,0,0,0,0,Points obtained from the SIF Data Link Bonus Ticket Scout.<br>Can be exchanged for various members and items.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223043003
15540002,Scout Points (Attribute Spotlight),1,0,0,0,0,"Points obtained from the Smile Only! Spotlight Scout, Pure Only! Spotlight Scout, or Cool Only! Spotlight Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,223061103
15540005,Scout Points (Love Song Carnival: Ayumu),1,0,0,0,0,Points obtained from Ayumu's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223100301
15540006,Scout Points (Love Song Carnival: Kasumi),1,0,0,0,0,Points obtained from Kasumi's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223101001
15540007,Scout Points (Love Song Carnival: Shizuku),1,0,0,0,0,Points obtained from Shizuku's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223101701
15540008,Scout Points (Love Song Carnival: Karin),1,0,0,0,0,Points obtained from Karin's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223102401
15540009,Scout Points (Love Song Carnival: Ai),1,0,0,0,0,Points obtained from Ai's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223103101
15540010,Scout Points (Love Song Carnival: Kanata),1,0,0,0,0,Points obtained from Kanata's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223110701
15540011,Scout Points (Love Song Carnival: Setsuna),1,0,0,0,0,Points obtained from Setsuna's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223111401
15540012,Scout Points (Love Song Carnival: Emma),1,0,0,0,0,Points obtained from Emma's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223112101
15540013,Scout Points (Love Song Carnival: Rina),1,0,0,0,0,Points obtained from Rina's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223112801
15540014,Scout Points (Love Song Carnival: Shioriko),1,0,0,0,0,Points obtained from Shioriko's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223120501
15540015,Scout Points (Love Song Carnival: Mia),1,0,0,0,0,Points obtained from Mia's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223121201
15540016,Scout Points (Love Song Carnival: Lanzhu),1,0,0,0,0,Points obtained from Lanzhu's Love Song Carnival Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223121901
15540017,Scout Points (Half Anniversary),1,0,0,0,0,"Points obtained from the One-A-Day! Half Anniversary Scout, Guaranteed UR! Half Anniversary Scout, or Spotlight Scout: Boo! Boo! Halloweenland.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,223101501
15540023,Scout Points (Love Song by Me),1,0,0,0,0,"Points obtained from the ""Love Song by Me"" Launch Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,223090603
15540024,Scout Points: μ's Spotlight,1,0,0,0,0,Points obtained from μ's Only! Spotlight Scout.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after exchange period.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223103111
15540025,Scout Points: Aqours Spotlight,1,0,0,0,0,Points obtained from Aqours Only! Spotlight Scout.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after exchange period.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223111508
15540027,Scout Points: Yohane the Parhelion,1,0,0,0,0,Points obtained from the Yohane the Parhelion: The Story of the Sound of Heart Scout.<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223121402
15540028,Scout Points: 1st-Years Spotlight,1,0,0,0,0,Points obtained from 1st-Years Only! Spotlight Scout.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after exchange period.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223111702
15540029,Scout Points: 2nd-Years Spotlight,1,0,0,0,0,Points obtained from 2nd-Years Only! Spotlight Scout.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after exchange period.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223112404
15540030,Scout Points: 3rd-Years Spotlight,1,0,0,0,0,Points obtained from the 3rd-Years Only! Spotlight Scout.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,223120103
15540031,Scout Points [Year-End & New Year Memorial],1,0,0,0,0,"Points obtained through the ""Year End & New-Year Commemoration! Free Scouting up to 240 times"" and ""Year End & New-Year Commemoration! UR confirmed scout""<br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,223122604
15540032,Scout Points [New Year Commemoration],1,0,0,0,0,"Points obtained through the ""New-Year's First Dream Commemoration!"" and ""New-Year's First Dream! UR confirmed scout""<br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,224010105
15540033,Scout Points [Love Song Carnival],1,0,0,0,0,"Points obtained through the ""Love Songs Carnival Memorial Scout""<br>can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.",用途ダミー,入手先ダミー,0,15020001,5,500,,0,224011304
15540034,Scout Points (Super Thanks),1,0,0,0,0,Points obtained from School Idol Festival 2 Super Thanks Scouting.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,224030109
15540035,Scout Points [Special Scouting],1,0,0,0,0,"Points that can be earned through “Special Scouting”</br>Can be exchanged for various members and items</br>*After the period ends, it will be converted to a Skill Notebook (Medium).",用途ダミー,入手先ダミー,0,15020001,5,500,,0,224031602
30010001,Memorial Piece,1,0,0,0,0,"Special items obtained from events, login bonuses, etc.<br>Can be exchanged for memorial members at the exchange once enough pieces have been collected.",用途ダミー,入手先ダミー,0,30010001,5,500,,0,1
30010002,Weiß Schwarz Exchange Ticket,1,0,0,0,0,An exchange ticket that you can use at the Weiß Schwarz Registration Campaign Exchange Shop.,用途ダミー,入手先ダミー,0,30010002,5,501,,0,223110106
30010003,Snowy White Christmas Exchange Ticket,1,0,0,0,0,An exchange ticket that can be used at the Snowy White Christmas Campaign Exchange shop.,用途ダミー,入手先ダミー,0,30010003,5,502,,0,223120107
30010004,Lucky Bag Points,1,0,0,0,0,新春記念！福袋パック交換所で利用できる交換券,用途ダミー,入手先ダミー,0,30010004,5,502,,0,224010107
30010005,Valentine's Exchange Ticket,1,0,0,0,0,An exchange ticket that can be used at the Happy Valentine's Day Campaign Exchange Shop.,用途ダミー,入手先ダミー,0,30010005,5,502,,0,224020104
16005001,Lesson Notebook (S),4,3,0,100,0,Used in lessons to grant experience points to a specific member.,用途ダミー,入手先ダミー,100,16005001,1,217,,0,1
16005002,Lesson Notebook (M),4,3,0,1000,0,Used in lessons to grant experience points to a specific member.,用途ダミー,入手先ダミー,1000,16005002,1,218,,0,1
16005003,Lesson Notebook (L),4,3,0,5000,0,Used in lessons to grant experience points to a specific member.,用途ダミー,入手先ダミー,5000,16005003,1,219,,0,1
17001001,Skill Notebook (S),5,4,0,100,0,Used in skill lessons to grant experience points to a specific skill.,用途ダミー,入手先ダミー,1000,17001001,1,321,,0,1
17001002,Skill Notebook (M),5,4,0,1000,0,Used in skill lessons to grant experience points to a specific skill.,用途ダミー,入手先ダミー,10000,17001002,1,322,,0,1
17001003,Skill Notebook (L),5,4,0,5000,0,Used in skill lessons to grant experience points to a specific skill.,用途ダミー,入手先ダミー,50000,17001003,1,323,,0,1
19100001,Light Stick,3,8,0,0,0,Used to Idolize a member.,用途ダミー,入手先ダミー,0,19400001,1,405,,0,1
20000001,LP Candy (S),8,1,0,10,0,An item that restores 10 LP.,用途ダミー,入手先ダミー,0,20000001,2,1,,0,1
20000002,LP Candy (M),8,1,0,50,0,An item that restores 50 LP.,用途ダミー,入手先ダミー,0,20000002,2,2,,0,1
20000003,LP Candy (L),8,1,0,100,0,An item that restores 100 LP.,用途ダミー,入手先ダミー,0,20000003,2,3,,0,1
20001001,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,10,2023/05/25 4:59:59,0,1
20002001,Limited-Time LP Candy (M),8,1,0,50,0,A limited-time item that restores 50 LP.,用途ダミー,入手先ダミー,0,20002001,2,11,2023/05/25 4:59:59,0,1
20003001,Limited-Time LP Candy (L),8,1,0,100,0,A limited-time item that restores 100 LP.,用途ダミー,入手先ダミー,0,20003001,2,12,2023/05/25 4:59:59,0,1
20001002,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,13,2023/06/10 4:59:59,0,223051506
20001003,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,14,2023/06/25 4:59:59,0,223053106
20001004,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,15,2024/03/31 14:59:59,0,223061107
20001005,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,16,2023/08/31 14:59:59,0,223063006
20001006,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,17,2023/09/30 14:59:59,0,223073106
20001007,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,18,2023/10/31 14:59:59,0,223083106
20001008,Halloween LP Candy (S),8,1,0,10,0,An item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001002,2,19,,0,223102502
20001009,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,20,2023/11/30 14:59:59,0,223093006
20001010,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,20,2024/03/31 14:59:59,0,223103106
20001011,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,20,2024/04/15 14:59:59,0,223113006
20001012,Christmas LP Candy (S),8,1,0,10,0,An item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001003,2,20,,0,223120106
20001013,LP Sticky Mochi,8,1,0,10,0,An item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001004,2,20,,0,224010109
20001014,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,20,2024/04/30 14:59:59,0,223120803
20001015,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,20,2024/05/15 14:59:59,0,223123105
20001016,LP Valentine's Chocolate (S),8,1,0,10,0,An item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001005,2,20,,0,224020105
20001017,LP White Day Macaron (S),8,1,0,10,0,An item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001006,2,20,,0,224030112
20001018,Limited-Time LP Candy (S),8,1,0,10,0,A limited-time item that restores 10 LP.,用途ダミー,入手先ダミー,0,20001001,2,20,2024/05/31 14:59:59,0,224013105
21000001,Skip Ticket,1,10,0,0,0,A ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21000001,3,10,,0,1
21001001,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/05/25 4:59:59,0,1
21001002,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/06/10 4:59:59,0,223051506
21001003,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/06/25 4:59:59,0,223053106
21001004,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/07/31 14:59:59,0,223061107
21001005,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/08/31 14:59:59,0,223063006
21001006,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/09/30 14:59:59,0,223073106
21001007,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/10/31 14:59:59,0,223083106
21001008,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2023/11/30 14:59:59,0,223093006
21001009,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2024/03/31 14:59:59,0,223103106
21001010,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2024/04/15 14:59:59,0,223113006
21001011,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2024/04/30 14:59:59,0,223120803
21001012,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2024/05/15 14:59:59,0,223123105
21001013,Limited-Time Skip Ticket,1,10,0,0,0,A limited-time ticket used to skip a live show that has already been cleared.,用途ダミー,入手先ダミー,0,21001001,3,10,2024/05/31 14:59:59,0,224013105
22000001,Star Assist Ticket,1,9,0,0,0,A ticket needed to use a Star Assist.,用途ダミー,入手先ダミー,0,22000001,5,500,,0,223111506
22001001,Star Assist Ticket (Limited),1,9,0,0,0,A ticket needed to use a Star Assist (limited time).,用途ダミー,入手先ダミー,0,22001001,5,500,2024/05/10 07:59:59,0,223103106
22001003,Star Assist Ticket (Limited),1,9,0,0,0,A ticket needed to use a Star Assist (limited time).,用途ダミー,入手先ダミー,0,22001001,5,500,2024/05/10 07:59:59,0,224011505
22001004,Star Assist Ticket (Limited),1,9,0,0,0,A ticket needed to use a Star Assist (limited time).,用途ダミー,入手先ダミー,0,22001001,5,500,2024/05/10 07:59:59,0,224021405
15570001,Scout Points (Global Launch SP Scouting ~Set 1~),1,0,0,0,0,Points obtained from Global Launch SP Scouting ~Set 1~<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924020101
15570002,Scout Points (Global Launch SP Scouting ~Set 2~),1,0,0,0,0,Points obtained from Global Launch SP Scouting ~Set 2~<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924021601
15570003,Scout Points [Rerun](Global Launch SP Scouting ~Set 1~),1,0,0,0,0,Points obtained from Global Launch SP Scouting ~Set 1~<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924031701
15570004,Scout Points:[Rerun](μ's Spotlight),1,0,0,0,0,Points obtained from μ's Only! Spotlight Scout.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after exchange period.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924032501
15570005,Scout Points:[Rerun](Aqours Spotlight),1,0,0,0,0,「Aqours限定！ピックアップ勧誘」で獲得できるポイント<br>様々な部員やアイテムと交換することができる<br>※期限終了後、スキルブック(中)に変換されます,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924041701
15570006,Scout Points [Rerun](Global Launch SP Scouting ~Set 2~),1,0,0,0,0,Points obtained from Global Launch SP Scouting ~Set 2~<br>Can be exchanged for various members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924042401
15570007,Scout Points (Special Scout),1,0,0,0,0,Points obtained from Rerun UR Guaranteed！Special Scout！<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924050701
15570008,Scout Points (Love Song Carnival),1,0,0,0,0,Points obtained from Rerun Love Song Carnival Scouting.<br>Can be exchanged for various Members and items.<br>*Converted into Skill Notebooks (M) after they expire.,用途ダミー,入手先ダミー,0,15020001,5,500,,0,924052401
